Id,ProjectIdentifier,ProjectName,ApplicationDate,AmountGrantRequested,AmountGrantApproved,DateGrantApproved,AmountGrantPaid,DateGrantPaid,ProjectDescription,StatusCode_Id,StatusDescription,ProjOfficerRecommendation,TargetCompletionDate,Region_Id,District_Id,Keywords,Summary,ProjOfficer_Id,Problems,StatusCodeDate,StrengthsWeaknesses,FinanceOtherFunders,LocalContribution,WebSitePicture,WebSitePictureDescription,Latitude,Longitude,DocumentsUrl,PublicDocumentsUrl,ImpactOfProject,LastUpdated,TotalProjectCost,LastUpdatedBy
52,256a,"Ikimba-Izimbya Secondary School","2014-12-11 00:00:00",4752,4752,"2015-07-27 00:00:00",4752,"2015-07-28 00:00:00","Izimbya is one of the 4 schools of the Ikimba Group. These schools are receiving funding from the Hilden Charitable Fund over a 3 year period starting in 2012. The purpose is to see if by improving the resources and providing additional support from a VSO  NV Volunteer standards in the schools can be raised from a very low base. Izimbya is the longest established of the 4 schools and is the most fully staffed and has a supportive network that extends even to Dar.",13,"24th Feb 2014.  
Still awaiting feed back on plans for second tranche.    No comms. from them since November 2013.  Have alerted Elias etc and sent repeated emails and sms - Heard from Robert Kasaaju who did make contact for JP that they ran out of money to buy library furniture after renovation with tranche 1  
1 March 2014: JP  Received emails and proformas etc from new coordinator at Izimbya, J John.  Copies in Docs:
Final 2013 top up approval sent 12 March 2014 .  27th March 2014. Funds received by school.  JP 24th June.  Still awaiting reply to email request for report sent recently.
Plans received for 2015 11/12//14 JP
Grant approved and transfer made 28th July.  See docs for confirmation","Phase 1 in 2012-13 was mostly concerned with the provision of textbooks, science equipment and some sports equipment. Phase 2 in 2013-14 started with the provision of a library in each school. Second stage phase 2 payment should be made when satisfactory plans are received from the school. Final 2013 top up approval sent 12 March 2014","2015-12-31 00:00:00",4,29,"Secondary Education; Results; Attendance; Staffing; Improvement; Reading; Standard of English; Hilden Charitable Fund",NULL,3,NULL,2017-09-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21967,NULL,NULL,"2017-09-09 12:42:34",NULL,NULL
53,256b,"Ikimba-Kibirizi Secondary School","2014-12-11 00:00:00",4752,4752,"2013-05-07 00:00:00",4752,"2013-08-10 00:00:00","Kibirizi is one of the 4 schools of the Ikimba Group. These schools are receiving funding from the Hilden Charitable Fund over a 3 year period starting in 2012. The purpose is to see if by improving the resources and providing additional support from a VSO  NV Volunteer standards in the schools can be raised from a very low base. Kibirizi is probably the school with the greatest difficulties of the four.",13,"24th Feb: JP  Received comms re plans and awaiting some defibition but probably OK.  Need to suggest Computer4 Africa link for possible equipment.  Final 2013 top up approval sent 12 March 2014.  Funds received 27th March 2014. Awaiting bank receipt copies after holiday etc
Third year plans received 11/12//14 JP. 
Final grant approved and transfer made 28th July See docs confirmation.
Ann and Julian Marcus visited in Feb. 2017- Report in Documents.","Phase 1 in 2012-13 was mostly concerned with the provision of textbooks, science equipment and some sports equipment. Phase 2 in 2013-14 started with the provision of a library in each school. Second stage phase 2 payment should be made when satisfactory plans are received from the school.  Final 2013 top up approval sent 12 March 2014","2015-12-31 00:00:00",4,29,"Secondary Education; Results; Attendance; Staffing; Improvement; Reading; Standard of English; Hilden Charitable Fund",NULL,3,NULL,2017-09-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21968,NULL,NULL,"2017-09-09 12:43:44",NULL,NULL
54,256c,"Ikimba-Rubale Secondary School","2014-05-30 00:00:00",4752,47522,"2015-07-27 00:00:00",4752,"2015-07-27 00:00:00","Rubale is one of the 4 schools of the Ikimba Group, but was added late at the request of the local Education Department. These schools are receiving funding from the Hilden Charitable Fund over a 3 year period starting in 2012. The purpose is to see if by improving the resources and providing additional support from a VSO NV Volunteer standards in the schools can be raised from a very low base. The school received a catch-up grant in 2013 (funded by TDT) which is why its allocation appears larger than that of the other 3 schools.",13,"24th Feb: JP  Awaiting plans review for second 2013 tranche.  Promised by this week - sent email replies etc - see docs.   Plans all received 12 March. 2014 Final 2013 top up approval sent 12 March 2014.     JP Probllems re reporting ( see emails in docs) JP June 24th 2014.  Text messages sent to HHead as requested in emails from co-ord.         **  Third year plans received 11/12/14 JP
Grant approved JP

Grant transfer made 27th July 2015 - see docs for confirmnation

Ann and Julian Marcus visited in Feb. 2017. Report in Documents.","Phase 1 in 2012-13 (paid in arrears to help Rubale catch up the other 3 schools) was mostly concerned with the provision of textbooks, science equipment and some sports equipment. Phase 2 in 2013-14 started with the provision of a library in each school. Second stage phase 2 payment should be made when satisfactory plans are received from the school.  Final 2013 top up approval sent 12 March 2014.  JP Probllems re reporting ( see emails in docs) JP June 24th 2014","2015-12-31 00:00:00",4,29,"Secondary Education; Results; Attendance; Staffing; Improvement; Reading; Standard of English; Hilden Charitable Fund",NULL,3,NULL,2017-09-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21969,NULL,NULL,"2017-09-09 12:44:17",NULL,NULL
55,256d,"Ikimba-Tunamkumbuka Secondary School","2011-12-02 00:00:00",4302,4302,"2015-07-27 00:00:00",4302,"2015-07-27 00:00:00","Tunamkumbuka [We shall remember (Mwalimu Nyerere)] is one of the 4 schools of the Ikimba Group. These schools are receiving funding from the Hilden Charitable Fund over a 3 year period starting in 2012. The purpose is to see if by improving the resources and providing additional support from a VSO NV Volunteer standards in the schools can be raised from a very low base.",13,"JP 24th Feb.  Received plans for 2nd tranche.  JDM sent reply re Computers etc.  Awaiting development but  OK to fund as soon as others all in.    Final 2013 top up approval sent 12 March 2014. Bank receipts and letters of thanks received form Kasaaju 24/03/14

Final third year grant approved and paid 27th July 2015 ( Less advance for flood rescue of R Kasaaju and computers as agreed with school board and headteacher) Please see docs for details

Ann and Julian Marcus visited in Feb 2017. Report in Documents.","Phase 1 in 2012-13 was mostly concerned with the provision of textbooks, science equipment and some sports equipment. Phase 2 in 2013-14 started with the provision of a library in each school. Second stage phase 2 payment should be made when satisfactory plans are received from the school.  Final 2013 top up approval sent 12 March 2014","2015-12-31 00:00:00",4,29,"Secondary Education; Results; Attendance; Staffing; Improvement; Reading; Standard of English; Hilden Charitable Fund",NULL,3,NULL,2017-09-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%21970,NULL,NULL,"2017-09-09 12:44:59",NULL,NULL
56,256e,"Ikimba-General Documents 2012 to 2015","2011-12-02 00:00:00",5000,5000,"2015-05-21 00:00:00",20000,"2015-07-25 00:00:00","This is not a project, but is being used to hold all the documents that refer in general to the schools of the Ikimba Group. The data in status refers to general all school information. ",13,"12 March 2014.  Up date plans received from all schools. Additional final top up for 2013 approved to be sent.  Results for 2013 received from Bw Karwihula.   17/03/2014:    All schools sent final 2013 top up of £2500 on 15/03/2014 completing the second year funding a following receipt of top up spending plans from all schools. Emails in documents for each school.   Second year plans all completed and reports received.  Report sent to Hilden.   JP 11/11/14  Email request sent to all schools and LRs etc for 3rd year plans by 12th December prior to Hilden application in new year 2015.         25th July 2015.  Grant payments due to be made.  JP due to visit in August 

JP 27th July 2015    Message from Treasurer re 3rd year funding;  Payment request adjusted as shown here: Expense adjustments made to take account  of LR claims for travel. and purchase of IT equipment for the schools by JC and JP to be delivered by JP in August ( Raspberry Pi computers and SD cards ) It has been decided by JP to retain an small contingency for possible LR monitoring expenses during this year. 

From SM Treasurer:

Total	                           Izimbya		                Tunam'ka                       Rubale                              Kibirizi
PY bal	                        	                                 (450.00)	                                                         	                                  - 
TDT cont	                       4,000.00	                       1,000.00	                       1,000.00	                       1,000.00	                       1,000.00
Hilden	                     16,000.00	                       4,000.00	                       4,000.00	                       4,000.00	                       4,000.00
Expenses	                        (112.00)	                          (28.00)	                          (28.00)	                          (28.00)	                          (28.00)
Expenses	                        (262.14)	                          (65.54)	                          (65.54)	                          (65.54)	                          (65.54)
Expenses	                        (229.00)	                          (57.25)	                          (57.25)	                          (57.25)	                          (57.25)
Contingency	                        (387.94)	                          (96.98)	                          (96.98)	                          (96.98)	                          (96.98)
  
18,558.92	                   4,752.23	                       4,302.23	                       4,752.23	                       4,752.23
 
Thanks,
Sam Macaulay

August 2015:  Jonathan visited for 4 days and stayed with Robert Kasaaju family.  Individual school reports entered but overall good progress in starting to implement plans for final third year. 
New additional input is the Satellite Broadband installation by Avanti and Infinity which will give the schools free installation, free supported broadband for one year then continuation free or with additional download at some cost by each school.  Benefits are that the 4 libraries and one other room / office will have internet connection.  Kibirizi is installing solar power for electric supply which will give the library lit study space for exam students in the evening for the first time.
JP 6/11/15.  Added visit report to the documents field. 

IKIMBA SCHOOLS PROJECT 2012 - 2015
The four rural Kagera Region schools in this project, named after Lake Ikimba round which the schools are grouped, are Tunamkumbuka, Rubale, Izimbya and Kibirizi.  This report outlines the second year of a three year programme to assist with raising attainment, supporting girls'attendance and their commitment to their education and the schools’ approach to teaching and learning.  The core focus was the development of the library facilities and associated teaching and learning skills, use of text and reference books and improvement in levels of literacy through the broadening of reading matter available in the libraries. . During this second year all schools completed the conversions and renovations for the library establishment  and the purchase of shelving, tables and seating and improvements to security on windows and doors.  Text books and other resources purchased by the schools in year one now have proper display and access for students and staff with all schools using student librarians and cataloguing to ensure records and security of book use.  A successful short programme of training for the schools on using libraries and resources effectively was run by retired District Education Officer Bw Ngaiza Kailembo.  Following a TDT monitoring visit by members Dan Cook and Jonathan Pace  plus school reports  and other regular helpful feedback by our representative in Kagera, Mzee Elias Mashasi,  phase 2 payments were sent to the schools following their submission of plans for use of this  grant.  Schools used this for varying purposes but all within the original overall aims of the 3 year programme.  Izimbya School and Rubale School focused on completion of library facilities and some additional science and sports field improvements whilst Kibirizi School  added books for the  school library, sports gear equipment for Netball, Volleball and Football and a solar powered computer laptop with a steel cabinet for secure storage. Tunamkumbuka used funds  to set up a small computer room.  This was opened with great celebration by Samia Khatun, Trustee of Hilden Charitable Fund which has generously agreed to fund the programme in conjunction with TDT.  We are grateful to Samia for visiting two of the schools during her long safari in Uganda and Tanzania to monitor progress and report back to TDT.  Additional monitoring and project implementation visits have been made during this year by TDT Campaigns' Manager Janet Chapman.  Work has been started on developing a programme linked to Millenium Development Goal 3 to support girls' education and attendance, alongside her work on developments in Teaching and Learning supported by use of Tablet computers Janet held initial discussions with school counsellors on how we might support a programme of more regular consultation between the schools on curriculum and social welfare issues, especially for girls. Jonathan Pace will be visiting the schools in August to follow up on these discussions and also the plans submitted for the third year of this programme, which Hilden have again generously agreed to fund.   A key development for all the schools is Science facilities which the Tanzania Government  have determined all schools must provide by the end of this year and alongside the support for girls' education the third year of funding will help the schools to create or improve accommodation for the science curriculum.
Attainment:  One key criteria for the original aims of the project was to achieve improvement in attainment and we were pleased to receive examination results from retired DEO and ex Head teacher of Kibirizi,  Bw Josiah Karwihula, which showed that for the first time a large number of girls achieved a pass in Grade  IV examinations, affirming also an improvement in the girls’ commitment to school.  This meant that for the first time girls were able to proceed into Form 5, the equivalent of our UK lower 6th.  There was a similar overall small improvement in boys’ results. Whilst there are challenges of staffing and resourcing we look forward during this third year to continuing to support improvement in the schools.
Feb 2017:  Examination results report received form Martin at PIXEL  Considerable improvement shown in Tunam, Rubale and Kibirizi.  Report and statistics placed in documents folder.  JP  06-02-17
","Final top up to be sent 12 March 2014

JP 25/07//15;  3rd year funding to be sent July 2015 following visit discussion with JC re plans","2015-12-31 00:00:00",4,29,"Secondary Education; Results; Attendance; Staffing; Improvement; Reading; Standard of English; Hilden Charitable Fund","IKIMBA SCHOOLS PROJECT 2012-2015
This report is on the final year of a three year programme to assist with raising attainment, supporting girls' attendance and their commitment to their education and the schools’ approach to teaching and learning.  All four schools continued their resourcing of core curriculum areas, especially the new science laboratories for which science equipment including a ‘practice skeleton’ and furniture was purchased!
To encourage girls’ attendance funding has helped schools have provided better hygiene facilities and resources.  A training workshop was held for staff on the introduction of girls' clubs to empower girls to discuss and realise their aspirations for a better education and life beyond school. Some basic and secure hostel accommodation for girls near the very remote Kibirizi School enabled them to study in the evenings with solar lights and avoid long journeys from their homes each day. Satellite broadband was installed in all four schools giving schools internet access with the many benefits of communication and educational resources on the world wide web. Although the funding programme is completed, TDT will continue follow up visits. We thank again Hilden Charitable Fund for its generous funding support for this programme along with our other individual donors. Robert Kasaaju, Bursar at Tunambuka School writes "We use this opportunity to appreciate you in person, TDT as well as HCF, for your great support to our school and the all community at large. For your efforts and good heart we say thank you very much and may God bless everybody who helped on this.”
Examination results improvement noted in documents reports for 2015 to 2016. 


",3,NULL,2016-06-27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212384,NULL,NULL,"2017-02-06 17:42:33",60000.0000,NULL
57,ENQ,"ZZZ - Pretty Development for Poverty Reduction ",NULL,1800,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,10,30,NULL,NULL,NULL,NULL,2014-01-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212385,NULL,NULL,NULL,NULL,NULL
58,ENQ,"ZZZ - OPEN DEVELOPMENT EMPOWERMENT RENICING ASSETS AND BIODEVISITY (ODERABIO)","2014-01-03 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,2014-01-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212386,NULL,NULL,NULL,NULL,NULL
59,ENQ,"ZZZ - ACRO (Simon Mwakalinga)","2014-01-13 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,2014-01-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212387,NULL,NULL,NULL,NULL,NULL
60,1,"Projects not yet on the database",NULL,NULL,NULL,NULL,NULL,NULL,"341 follows on from 276 (Still on CPR)",13,NULL,NULL,NULL,16,31,NULL,NULL,NULL,NULL,2014-01-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,276,"YAAPA - Kibirizi Women's Tailoring Workshop","2012-05-21 00:00:00",2670,2670,"2013-05-07 00:00:00",NULL,NULL,"This project aims to train women and girls in tailoring through the provision of short 6 week training courses in groups of 20 in 1 year. ",11,"Whilst the workshop is up and running, the successful trainees are finding it difficult to use their skills due to lack of resources to set themselves up on their own. The women indicated that they would like to set themselves up into groups and be given help to purchase machines to get started in business. Without this, it is difficult to see any tangible impact of this project.",NULL,NULL,3,3,"Tailoring, Self-Help","The project will provide funds to purchase sewing machines - 4 x zig zag and 4 x straight and a button hole / over lock machines. The beneficiaries come from Kibirizi, Ujiji and surrounding Kigoma Urban areas and are mainly vulnerable and poorly educated girls who have also been the subject of violence, teenage pregnancy, disability, and other social and health challenges. ",2,NULL,2014-01-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212389,NULL,NULL,NULL,NULL,NULL
62,"VSO Small Grants ","VSO General information","2014-01-01 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,11,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,5000,"VSO General information",NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,"THE TANZANIA DEVELOPMENT TRUST (Registered Charity 270462)
Small Grants scheme for serving VSO volunteers in Tanzania – July 2011:  Revised  Sept 2016
INTRODUCTION
The Tanzania Development Trust (TDT) (www.tanzdevtrust.org ) is the development charity of the Britain-Tanzania Society (www.btsociety.org ). The aim of the Society is to promote good relations and better understanding between the peoples of Tanzania and Britain.
TDT recognises that some volunteers may be unable to fulfill the purpose of their project, due to the lack of some very basic materials  (e.g. textbooks, basic science lab equipment), so this scheme should enable some volunteers to overcome this problem RELATIVELY quickly. TDT also recognises that some well-established volunteers may be in a position to help their local communities to overcome the lack of some basic amenity before they leave.   
TDT is offering small grants to current VSO volunteers under the following terms and conditions:
1.	The grant will be for a sum of not less than TZS 250,000 and not more than TZS 1,250,000
2.	A grant will be awarded for the purpose of either increasing the effectiveness of the volunteer’s project or improving the lives of the community within which the volunteer is living. In the latter case, the project must include ‘matching funding ‘ in terms of materials or labour from that community.  This means that  the Committee looks for Ideas - Driven proposals that can remove a specific obstacle to the delivery of a project,  or proposals that, with the volunteer’s involvement and community contribution can make an immediate and sustainable improvement in the life of their community. 

Since 2012 around 46 grants have been awarded and these have been reported in the annual reports.  At time of writing in 2017 the scheme has been awarding grants regularly after a hiatus in 2016 following changes of personnel in the VSO Dar office.
A brief summary of grants awarded since July 2016 is in the 2017 annual report.

Grant details are listed under an individual project  data base identification  from 5001 onwards.  Currently ( July 2017) the data base only records grants made since the data base was established.   It is hoped to enter a list update of earlier grant awards to the data in the near future.  

",NULL,NULL,11,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212390,NULL,NULL,"2017-07-14 13:20:39",NULL,NULL
64,361,"Kigoma Community Development Initiatives","2014-03-30 00:00:00",30000,NULL,NULL,NULL,NULL,"Ambition project to increase of the number of scientists through promotion of science books Eg. Biology, Chemistry, Physics and Maths through provision of textbooks to 37 secondary Schools in Kigoma Rural and building of 4 libraries.",17,"Have rejected due to the size of the project (£30k), fact it is another project i n Kigoma and that 40% of budget was on evaluation and communications.",NULL,NULL,3,4,NULL,NULL,NULL,NULL,2014-04-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212391,NULL,NULL,NULL,NULL,NULL
65,348,"Buturi Makongoro Project","2014-02-20 00:00:00",8850,5000,NULL,5000,NULL,"Project for a rainwater harvesting system to provide drinking water as well as a watering system for the market garden. This is an extremely dry area and the system would have large benefits for Buturi and the surrounding villages.",9,"£5,000 grant agreed at the September 2014 meeting and fully paid in January 2015. As of November 2015, some money has been sent to the village to make bricks which are ready. The plans for the system are still being finalized and Judith Smith is visiting in February 2016 to finalise. After that the project will be implemented (see recent correspondence in Documents). This delay is frustrating and I have asked for a financial statement, so we know what money has been spent and what remains in the UK.
Nov17, Judith Smith reported that they are going out to Tanzania wee of Nov 6th to agree suppliers and final budget for the project. Santa Clara university has agreed to help project, both sending students and funding amounts not provided by TDT. Dan Cook to meet Judith on her return.","This application forms part of an ongoing project sponsored by UK resident Tanzanian Judith Smith, whom I have visited to discuss this application. The project has been designed by an English engineer and seeks to provide palatable water in this extremely dry cluster of three villages. The project has already built a primary school and they intend to use this roof to collect rainwater to serve the community as a whole (including the school). The design is for a large underground storage tank to then feed the toilet block (also used by the community), a drinking water outlet and a large garden which will grow food. They are raising money for the pumping system elsewhere (about £2,000) and have committed to raise £1,850 if TDT can fund the remaining £7,000. Mama Rhobi has visited and recommends the project, as do I. one reservation is the primary school attachment, but have been at pains to ensure that it is the whole community that benefits and not just the school, hence they have already formed a water committee to ensure equitable distribution. The cost is also alot more than a simple guttering and PVC tank solution, but I think offers many more benefits and will provide more capacity.",NULL,5,34,"Mara, Water","Buturi village is situated in Mara region, north of Musoma and 20km from Lake Victoria. It has suffered the twin disasters of AIDS and drought and hence is extremely impoverished area. The project aims to install a rainwater harvesting system on the school building that has been designed by a British engineer with collaboration by a UK PhD student. This will provide clean water for the community as well as watering a community garden which will grow vegetables. Hence the project should provide wide benefits to this and the surrounding villages. The project is sponsored by Judith Smith, a UK based Tanzanian who was born in this area. Judith has been raising funds alongside the TDT donation to provide the full funding needed for this project.",2,NULL,2015-01-09,NULL,NULL,NULL,...,"School building on which the rainwater capture system will be deployed.",-1.416666000000,34.006940000000,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212392,NULL,NULL,"2017-11-06 09:08:46",NULL,NULL
66,ENQ,"ZZZ - Buhaya Group","2014-01-21 00:00:00",NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,9,13,NULL,NULL,NULL,NULL,2014-01-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212393,NULL,NULL,NULL,NULL,NULL
67,342,"Ebeneza Vocational Training Centre","2014-01-22 00:00:00",4800,2805,"2014-05-13 00:00:00",NULL,NULL,"TDT funded Ebenezer £2,000 in Dec 2012 to construct and populate a cow byre, milking parlour and poultry house. The project seems to have gone well and they are making good income to support the 86 orphans and vulnerable children. This new project is to buy computers, sewing machines, table and chairs for a Vocational Training Centre. The beneficiaries of project will be, 86 Orphans children, 30 Women widows, and 35 youth who live in poor condition as well as including girls got pregnant in early childhood.",12,"02 with Project officer, communication with Ebeneza complete. Local Rep Albert Kahai has also reported back after meeting Ndatala from Ebeneza. Recommendation going to the May 2014 meeting. May 13th 2014:  Grant approved for sewing machines of £2805.   Computers deferred for enquiries by DG into C4A costs etc (JP for DG) Julian and Ann visited with William Shayo after discussing the previous orphan care project (qv.) and after hearing Joseph Ndatala explain his plans for the computer centre.
Julian explained that TDT’s interest was in Vocational Education which led to VETA certificated qualifications and which enabled students to progress to employment. JN stated that the teacher was fully qualified and was assisted by a graduate in computer applications: unverifiable assertions. He said that this was the only training facility in the Ward- there were others in Shinyanga town, but they were expensive. Not all the students at the Ebeneza Centre were charged fees but enough was made from those that did to cover expenses. JN stated that they would be in a position in April to make an application to VETA for accreditation. 
We were taken to see the computer room. There were 6 working desktop computers in a very small room with a blackboard and no apparent teaching aids. All were being run from a single 13amp power point and a network of gang sockets across the floor. The single 13amp socket was coming away from the wall. A Health and Safety nightmare. There are no cooling fans (320C during our visit) During the frequent power-cuts, work stops and the youngsters are taught “theory”. The aim at the end of a 4 month course is the students have had an introduction to Word, Excel and PowerPoint. JN says the students come in shifts. He has made a request for TDT to fund 5 more computers as in DG’s statement above. These could not be housed in the present room, but JN proposes to use the adjacent office also (it is not clear where the office would then be). JN said that there were 23 students in the computer class, and they follow a 4 month course.
","Taking into account our past connections with Ebeneza,   their responses by email and the views of Albert Kahai our Local Rep who has been in communication David Gibbons would recommend the following;
EITHER 1: We fully fund both projects this is 13,740,000- thier group contribution of 1,540,000 = 12,200,000/= or £4880
OR
---1. Sewing Machine project: To fully fund the sewing machine project which is 7,790,000/= at a rate of Tz/-2,500 to the pound this becomes £3116  which minus  - a 10% personal contribution = £2805.                                                                                                       

NOTE; TDT have received a donation of £3800 from Dr Janet Bujira who would like some of her money to go to Ebeneza and I believe the amount left unspent is almost the amount for the sewing machine project above..

---2. The computer project: To gain another quote from Computers4Africa to see if they can supply 5 more computers. To fully fund this, The present cost of the computer project is 5,950,000/= or £2380. 

Julian's recommendations:
If we are not to reject the request for additional support, (which is one clear option on the grounds of misuse of previous grant),  I recommend:
1.	Checking the VETA requirements if possible and what syllabus would be required and ascertaining what Ebeneza really needs to do to meet VETA requirements in terms of content and premises;
2.	Asking for a drawing of how the room extension would be planned;
3.	Asking how Ebeneza proposes to install safe electric sockets and by when;
4.	Asking when at least one cooling fan will be bought;
5.	Making it a condition of any grant that there is a fire extinguisher;
6.	Asking for a CV of the teacher

FOR FURTHER DETAILS OF THE TAILORING COURSE SEE THE VISIT REPORT.",NULL,1,19,"Shinyanga, computing training,sewing machine, tailoring,vocational training","The Ebeneza Group Vocational Training Centre  is another aspect of the Ebeneza Group (see project C278). It is situated in small and cramped premises in a suburb of Shinyanga town. In Feb 2015, the computer room had 6 working desktop computers in a very small room with a blackboard and no apparent teaching aids. All were being run from a single 13amp power point and a network of gang sockets across the floor. The single 13amp socket was coming away from the wall.  This was a Health and Safety hazard. There are no cooling fans.  During the frequent power-cuts, the Marcuses were told that work stops and the youngsters are taught “theory”. The aim at the end of a 4 month course is the students have had an introduction to Word, Excel and PowerPoint. The students come in shifts. He has made a request for TDT to fund 5 more computers. These could not be housed in the present room, but the manager proposed to use the adjacent office also (it is not clear where the office would then be). There were said to be 23 students in the computer class, following a 4 month course.
Sewing and Tailoring Project
Although it was a Sunday a great bevy of girls were sitting at the silent sewing machines. The machines are all treadle type. The room is tiny- there is no space for a cutting out table. No material used by the students was in evidence and the managers aid that when they didn’t have any, they used paper patterns instead. There were no samples of students’ work on the walls. He said that there were 45 students in the tailoring class, 25 in the morning and the balance in a later shift.   The teacher, who is partially disabled, is paid an honorarium of 80,000Tsh per month.
 TDT’s response to any further request from this project will presumably be conditioned by an adequate resolution to the problems described in the report on C278. 
",6,"PG visited 05/10/15
See visit report and commitment letter from Ebeneza in documents.",2015-03-19,"Strengths of this are: We have previously funded Ebeneza and have visited the project in 2014. David Ackland gave a favourable response: "This group *involve the community, *gets things done and *provides genuine assistance to the needy." We have a recommendation to go ahead from our Local Rep. Email details indicate that they have trained staff to lead both the computing and sewing machine project. They have thought throught the certification aspects of the computer project, as well as having space and security for the computers. The computers seem reasonably priced at about £380 each from an Arusha company. They have thought through how the women on the sewing project will take their skills forward such as providing school uniforms. 
Weaknesses: Although not strictly a weakness the group have success in raising funds. With a bit of research the computing course was found to be an expansion of a project which has been started with a US embassy grant.They have been asked by the Village Chairman and wish to expand this from 10 to 15 and ultimately 20 computers. They have also received previous help from Friends of Tanzania (also a cattle and poultry project 2008 and 2010) having now reached that organisations limit of 3 grants in a set period, they must wait until 2017 before repeating an application to Fof T.","See note above","Ebeneza Group Contribution for the project is 11% of the total costs at Tsh 1,540,000",NULL,NULL,NULL,NULL,https://onedrive.live.com/?cid=F58F41920BFFDE6E&id=f58f41920bffde6e%212394,NULL,NULL,"2016-11-10 10:02:28",NULL,NULL
