Id,Project_Id,DocName,FilePath,Description,DocCategory
46,8,"ANSWERS FOR PROJECT 286 V 2.doc","~/CMS/Docs/8/General Correspondence/ANSWERS FOR PROJECT 286 V 2.doc","Questions to NGO","General Correspondence"
47,8,"ANSWERS FOR P286.doc","~/CMS/Docs/8/General Correspondence/ANSWERS FOR P286.doc","NGO answers","General Correspondence"
48,8,"FPA REGISTRATION.pdf","~/CMS/Docs/8/Documents supporting Application form/FPA REGISTRATION.pdf",NULL,"Documents supporting Application form"
49,9,"FPA  Project Contract no 2   May  2013 for Sunuka.doc","~/CMS/Docs/9/Project Officer Report/FPA  Project Contract no 2   May  2013 for Sunuka.doc","Sent contract. Sugned contract was received but corrupted file on POs computer after hard drive crash! ",Contract
50,9,"ACCOUNT  STATEMENT  FROM THE  BANK FOR  FPA.doc","~/CMS/Docs/9/General Correspondence/ACCOUNT  STATEMENT  FROM THE  BANK FOR  FPA.doc","Copy of Bank receipt of funds for Sunuka","General Correspondence"
51,9,"FOUNDATION  FOR POVERTY  ALLEVIATION   SUNUKA  SOLAR REPORT PROJECT P286.doc","~/CMS/Docs/9/Project Report/FOUNDATION  FOR POVERTY  ALLEVIATION   SUNUKA  SOLAR REPORT PROJECT P286.doc","Report from NGO on completion of Sunuka","Project Report"
52,9,"INVOCE SUNUKA.docx","~/CMS/Docs/9/Project Report/INVOCE SUNUKA.docx","Invoice copy for Solar panels and Inverters from David Supplies,  Kigoma","General Correspondence"
54,9,"Sunuka study.PDF","~/CMS/Docs/9/General Correspondence/Sunuka study.PDF","UN report on Sunuka economic and social status.  February 2000","General Correspondence"
55,9,"FPA comp.jpg","~/CMS/Docs/9/Other Correspondence/FPA comp.jpg","Meeting with Bibi Lucy in Kigoma october 2013","Other Correspondence"
56,6,"2013.10.06 VACE.doc","~/CMS/Docs/6/Documents supporting Application form/2013.10.06 VACE.doc","Answers to supplementary questions asked by David Ackland during October visit. Dated 6 October 2013.","Documents supporting Application form"
57,10,appl.doc,"~/CMS/Docs/10/Application Form/appl.doc","Sections of Handwritten application form","Application Form"
58,10,"appl 2.doc","~/CMS/Docs/10/Application Form/appl 2.doc","Sections of Handwritten application form","Application Form"
59,10,appl3.doc,"~/CMS/Docs/10/Application Form/appl3.doc","Sections of Handwritten application form","Application Form"
60,10,appl4.doc,"~/CMS/Docs/10/Application Form/appl4.doc","Sections of Handwritten application form","Application Form"
61,10,budget.doc,"~/CMS/Docs/10/Documents supporting Application form/budget.doc","Sections of Handwritten application form- Budget","Documents supporting Application form"
62,10,"covering letter.doc","~/CMS/Docs/10/Documents supporting Application form/covering letter.doc","Covering letter","Documents supporting Application form"
63,10,"Letter from Kihoa.doc","~/CMS/Docs/10/Documents supporting Application form/Letter from Kihoa.doc","Further letter","Documents supporting Application form"
64,11,"TDT Application Form 201213.pdf","~/CMS/Docs/11/Application Form/TDT Application Form 201213.pdf",NULL,"Application Form"
65,11,"BUDGET BEE PROJECTTDT.xls","~/CMS/Docs/11/Documents supporting Application form/BUDGET BEE PROJECTTDT.xls",Budget,"Documents supporting Application form"
66,11,"KADEF PROFILE.pdf","~/CMS/Docs/11/Documents supporting Application form/KADEF PROFILE.pdf","KADEF Profile","Documents supporting Application form"
67,11,"Kadef Registration.pdf","~/CMS/Docs/11/Documents supporting Application form/Kadef Registration.pdf","KADEF Registration","Documents supporting Application form"
68,11,"Mayambe local bee hive.pdf","~/CMS/Docs/11/Documents supporting Application form/Mayambe local bee hive.pdf","Mayambe local bee hive","Documents supporting Application form"
69,11,"Introduction letter from District.jpg","~/CMS/Docs/11/Documents supporting Application form/Introduction letter from District.jpg","District supporting letter","Documents supporting Application form"
70,11,"Reply Your application to TDT our ref W316.txt","~/CMS/Docs/11/Documents supporting Application form/Reply Your application to TDT our ref W316.txt","Email interchange","Documents supporting Application form"
71,12,TDTApplicationForm2013.doc,"~/CMS/Docs/12/Application Form/TDTApplicationForm2013.doc",NULL,"Application Form"
72,12,"REGISTRATION CERTIFICATE.JPG","~/CMS/Docs/12/Documents supporting Application form/REGISTRATION CERTIFICATE.JPG","Registration Certificate","Documents supporting Application form"
73,12,"SEED ORDER FORM.doc","~/CMS/Docs/12/Documents supporting Application form/SEED ORDER FORM.doc","Seed order form","Documents supporting Application form"
74,12,"Email interchange.txt","~/CMS/Docs/12/Documents supporting Application form/Email interchange.txt","Email interchange","Documents supporting Application form"
75,13,TDTApplicationForm2013.doc,"~/CMS/Docs/13/Application Form/TDTApplicationForm2013.doc",NULL,"Application Form"
76,1,recept1.pdf,"~/CMS/Docs/1/Project Report/recept1.pdf","Supporting first report - invoices 27 November 2013","Project Report"
77,1,"FIRST REPORT PURCHASE OF EQUIPMENTS.eml","~/CMS/Docs/1/Project Report/FIRST REPORT PURCHASE OF EQUIPMENTS.eml","Covering e-mail for first report 27 November 2013","Project Report"
78,1,"TDT first report.docx","~/CMS/Docs/1/Project Report/TDT first report.docx","First project report 27 November 2013","Project Report"
79,1,"Photos of equipments purchased.docx","~/CMS/Docs/1/Project Report/Photos of equipments purchased.docx","Photos accompanying first project report 27 November 2013","Project Report"
80,1,"Maganzo 311 Project Contract 2013.14 Signed.pdf","~/CMS/Docs/1/Contract/Maganzo 311 Project Contract 2013.14 Signed.pdf","Signed contract p1",Contract
82,13,"HT letter.jpg","~/CMS/Docs/13/Documents supporting Application form/HT letter.jpg","Letter from Head teacher","Documents supporting Application form"
83,13,"DED letter.jpg","~/CMS/Docs/13/Documents supporting Application form/DED letter.jpg","Letter from DED","Documents supporting Application form"
84,13,"Educ Officer letter.jpg","~/CMS/Docs/13/Documents supporting Application form/Educ Officer letter.jpg","Letter from Education Officer","Documents supporting Application form"
85,13,"Location map.jpg","~/CMS/Docs/13/Documents supporting Application form/Location map.jpg","Location map","Documents supporting Application form"
86,13,"HT photo.jpg","~/CMS/Docs/13/Documents supporting Application form/HT photo.jpg","Photo of HT","Documents supporting Application form"
87,13,"Books estimate 1.jpg","~/CMS/Docs/13/Documents supporting Application form/Books estimate 1.jpg","Books estimate 1","Documents supporting Application form"
88,13,"Books estimate 2.jpg","~/CMS/Docs/13/Documents supporting Application form/Books estimate 2.jpg","Books estimate 2","Documents supporting Application form"
89,13,"Science Estim ate 1.jpg","~/CMS/Docs/13/Documents supporting Application form/Science Estim ate 1.jpg","Science estimate 1","Documents supporting Application form"
90,13,"Science estimate 2 .jpg","~/CMS/Docs/13/Documents supporting Application form/Science estimate 2 .jpg","Science estimate 2","Documents supporting Application form"
91,13,"Sports estimate 1.jpg","~/CMS/Docs/13/Documents supporting Application form/Sports estimate 1.jpg","Sports estimate ","Documents supporting Application form"
92,14,TDTApplicationForm20131.doc,"~/CMS/Docs/14/Application Form/TDTApplicationForm20131.doc","Project Application Form","Application Form"
93,14,"Covering letter.doc","~/CMS/Docs/14/Documents supporting Application form/Covering letter.doc","Covering letter","Documents supporting Application form"
94,14,"Bank statement and Lubalisi V. Excutive letter for District Excutive Officer.doc","~/CMS/Docs/14/Documents supporting Application form/Bank statement and Lubalisi V. Excutive letter for District Excutive Officer.doc","Bank statement and supporing letter","Documents supporting Application form"
95,14,"ORIGINAL CERTIFICATE.docx","~/CMS/Docs/14/Documents supporting Application form/ORIGINAL CERTIFICATE.docx","Original Certificate","Documents supporting Application form"
96,14,"Photo proof of identity of the proposer and second contact.jpg","~/CMS/Docs/14/Documents supporting Application form/Photo proof of identity of the proposer and second contact.jpg","Applicant photos","Documents supporting Application form"
97,14,"THE SHORT INFORMATION ABOUT LUBALIS VILLAGE AND AREA LOCATOIN.docx","~/CMS/Docs/14/Documents supporting Application form/THE SHORT INFORMATION ABOUT LUBALIS VILLAGE AND AREA LOCATOIN.docx","Information about Lubalisi","Documents supporting Application form"
98,14,"W222 general corresponence 11Jan14.htm","~/CMS/Docs/14/General Correspondence/W222 general corresponence 11Jan14.htm","Recent exchange of emails","General Correspondence"
99,15,"WOSOEDEOTDT APPLICATION FORM 1.doc","~/CMS/Docs/15/Application Form/WOSOEDEOTDT APPLICATION FORM 1.doc",NULL,"Application Form"
100,15,"Manispaa letter1.docx","~/CMS/Docs/15/Application Form/Manispaa letter1.docx","Letter from Municipality","Documents supporting Application form"
101,15,"2 woso.pdf","~/CMS/Docs/15/Documents supporting Application form/2 woso.pdf","Civil Society Registration","Documents supporting Application form"
102,16,"TAFE.   TDTApplicationForm2013.doc","~/CMS/Docs/16/Application Form/TAFE.   TDTApplicationForm2013.doc","Project Application Form","Application Form"
103,16,"BEE KEEPING PROJECT  BUDGET DESCRIPTION.docx","~/CMS/Docs/16/Documents supporting Application form/BEE KEEPING PROJECT  BUDGET DESCRIPTION.docx",Budget,"Documents supporting Application form"
104,16,"Copy of certificate and Letter  from Local government..pdf","~/CMS/Docs/16/Documents supporting Application form/Copy of certificate and Letter  from Local government..pdf","Certificate and letter from Local Government","Documents supporting Application form"
105,16,"Photo proof of contact person TAFE.docx","~/CMS/Docs/16/Documents supporting Application form/Photo proof of contact person TAFE.docx","Photo proof of contact person","Documents supporting Application form"
106,16,"Email reponse to Application to TDT W330.txt","~/CMS/Docs/16/General Correspondence/Email reponse to Application to TDT W330.txt","Email response to application","General Correspondence"
107,17,TDTApplicationForm2013.doc,"~/CMS/Docs/17/Application Form/TDTApplicationForm2013.doc",NULL,"Application Form"
108,17,"SITE MAP  HUDERES and  CLEAN STOVE PROJECT.doc","~/CMS/Docs/17/Documents supporting Application form/SITE MAP  HUDERES and  CLEAN STOVE PROJECT.doc","Site map","Documents supporting Application form"
109,17,"CERTIFICATE OF REGISTRATION.JPG","~/CMS/Docs/17/Documents supporting Application form/CERTIFICATE OF REGISTRATION.JPG","Registration Certificate","Documents supporting Application form"
110,17,"CLEAN COOKING STOVE PHOTO FOR KAYANGA SECONDARY.jpg","~/CMS/Docs/17/Documents supporting Application form/CLEAN COOKING STOVE PHOTO FOR KAYANGA SECONDARY.jpg","Cooking Stove photo","Documents supporting Application form"
111,17,"Estimates for materials.jpg","~/CMS/Docs/17/Documents supporting Application form/Estimates for materials.jpg","Estimates for materials","Documents supporting Application form"
112,17,"Photo of Project contact persons.docx","~/CMS/Docs/17/Documents supporting Application form/Photo of Project contact persons.docx","Photos of Contact Persons","Documents supporting Application form"
113,17,"Recommendation Letter.pdf","~/CMS/Docs/17/Documents supporting Application form/Recommendation Letter.pdf","Recommendation Letter","Documents supporting Application form"
114,17,"Email reply to application.txt","~/CMS/Docs/17/Documents supporting Application form/Email reply to application.txt","Email reply to application","Documents supporting Application form"
115,17,"Email to Elias Mashasi.txt","~/CMS/Docs/17/Documents supporting Application form/Email to Elias Mashasi.txt","Email to Elias Mashasi","Documents supporting Application form"
116,10,"Extract from report by member Philip Grant in an email about various projects dated 06.docx","~/CMS/Docs/10/Visit Report/Extract from report by member Philip Grant in an email about various projects dated 06.docx","Visit report by BTS member Philip Grant, received 06/12/2013","Visit Report"
118,19,"Project Phase II  Budget 14.docx","~/CMS/Docs/19/Documents supporting Application form/Project Phase II  Budget 14.docx",Budget,"Documents supporting Application form"
119,19,"Email with Application.txt","~/CMS/Docs/19/General Correspondence/Email with Application.txt","Original application email","General Correspondence"
120,19,"YAAPA Kibirizi tailoring report Oct 2013 Final.pdf","~/CMS/Docs/19/Visit Report/YAAPA Kibirizi tailoring report Oct 2013 Final.pdf","Visit report October 2013 - before this application","Visit Report"
121,10,"Further email from Phil Grant.docx","~/CMS/Docs/10/General Correspondence/Further email from Phil Grant.docx","Further email with research done by Phil Grant","General Correspondence"
122,16,"Email interchange Julian and Kevin.txt","~/CMS/Docs/16/Other Correspondence/Email interchange Julian and Kevin.txt","Email interchange about naming project for Ian Gibson","Other Correspondence"
123,20,"2 WYADE TDT Application Form 201213.doc","~/CMS/Docs/20/Application Form/2 WYADE TDT Application Form 201213.doc","Application Form","Application Form"
124,20,"Kalya PIT Latrine BOQ.xlsx","~/CMS/Docs/20/Documents supporting Application form/Kalya PIT Latrine BOQ.xlsx","Basic 6 pit latrine BOQ","Documents supporting Application form"
125,20,"Kalya PIT Latrine with rain water scheme BOQ.xlsx","~/CMS/Docs/20/Documents supporting Application form/Kalya PIT Latrine with rain water scheme BOQ.xlsx","Basic 6 pit latrine with water harvesting Budget","Documents supporting Application form"
126,20,"Kalya VIP Latrine BOQ.xlsx","~/CMS/Docs/20/Documents supporting Application form/Kalya VIP Latrine BOQ.xlsx","VIP 6 pit latrine  Budget","Documents supporting Application form"
127,20,"Kalya VIP Latrine with Rain water harvesting BOQ.xlsx","~/CMS/Docs/20/Documents supporting Application form/Kalya VIP Latrine with Rain water harvesting BOQ.xlsx","VIP 6 pit latrine with water harvesting  Budget","Documents supporting Application form"
128,20,"National certificate NGOS.JPG","~/CMS/Docs/20/Documents supporting Application form/National certificate NGOS.JPG","Registration Certificate","Documents supporting Application form"
129,20,"RAMANI OFISI ILIPO KUDOJA.pdf","~/CMS/Docs/20/Documents supporting Application form/RAMANI OFISI ILIPO KUDOJA.pdf","Map ","Documents supporting Application form"
130,20,ramani.doc,"~/CMS/Docs/20/Documents supporting Application form/ramani.doc","Building plans","Documents supporting Application form"
131,20,"WYADE Kigoma District Council.docx","~/CMS/Docs/20/Documents supporting Application form/WYADE Kigoma District Council.docx","Missana recommendation letter with scanned in top and bottom","Documents supporting Application form"
132,20,"Email forwarding application to Evelyn 281013.txt","~/CMS/Docs/20/General Correspondence/Email forwarding application to Evelyn 281013.txt","Email forwarding application to Evelyn","General Correspondence"
133,20,"Email response to application 281013.txt","~/CMS/Docs/20/General Correspondence/Email response to application 281013.txt","Email interchange","General Correspondence"
134,21,"UWODEKI TDT Application Form 201213.doc","~/CMS/Docs/21/Application Form/UWODEKI TDT Application Form 201213.doc","Application Form","Application Form"
135,21,"UWODEKI District Letter.pdf","~/CMS/Docs/21/Documents supporting Application form/UWODEKI District Letter.pdf","Municipal Council Support Letter","Documents supporting Application form"
136,21,"Uwodeki Photo.jpg","~/CMS/Docs/21/Documents supporting Application form/Uwodeki Photo.jpg","Photos of disabled women by UWODEKI office","Documents supporting Application form"
137,21,"Uwodeki PROFOMA 1.pdf","~/CMS/Docs/21/Documents supporting Application form/Uwodeki PROFOMA 1.pdf","Quote from supplier dated Nov 2012","Documents supporting Application form"
138,21,"Uwodeki Registration.pdf","~/CMS/Docs/21/Documents supporting Application form/Uwodeki Registration.pdf","Registration document","Documents supporting Application form"
139,21,"20121112 Email from JDM to applicant.txt","~/CMS/Docs/21/General Correspondence/20121112 Email from JDM to applicant.txt","2012-11-12Email from JDM to applicant","General Correspondence"
140,21,"20121112 Email interchange copying application to Evelyn.txt","~/CMS/Docs/21/General Correspondence/20121112 Email interchange copying application to Evelyn.txt","2012-11-12 Email copying application to Evelyn ","General Correspondence"
141,21,"20121119 Email from applicant.txt","~/CMS/Docs/21/General Correspondence/20121119 Email from applicant.txt","2012-11-19 Email from applicant","General Correspondence"
142,21,"20121120 Email reforwarding project instructions to Evelyn.txt","~/CMS/Docs/21/General Correspondence/20121120 Email reforwarding project instructions to Evelyn.txt","2012-11-20 Email re-sending details to Evelyn","General Correspondence"
143,21,"20121120 Email to project giving ref W293 and warning of long delays.txt","~/CMS/Docs/21/General Correspondence/20121120 Email to project giving ref W293 and warning of long delays.txt","2012-11-20 Email to project giving reference and about delays","General Correspondence"
144,22,"KAHURANANGA TDT.doc","~/CMS/Docs/22/Application Form/KAHURANANGA TDT.doc",NULL,"Application Form"
145,22,"KAHURANANGA DOCUMENT.doc","~/CMS/Docs/22/Documents supporting Application form/KAHURANANGA DOCUMENT.doc","This is a large Word file bringing together all requisite supporting documents","Documents supporting Application form"
146,22,"20131026 Email from JDM to NGO explaining that application must be made by school.txt","~/CMS/Docs/22/General Correspondence/20131026 Email from JDM to NGO explaining that application must be made by school.txt","Email from JDM to NGO explaining that application must be made by the school","General Correspondence"
147,22,"20131102 Email from JDM to Headteacher.txt","~/CMS/Docs/22/General Correspondence/20131102 Email from JDM to Headteacher.txt","Email from JDM to Headteacher with queries.","General Correspondence"
148,22,Barua.pdf,"~/CMS/Docs/22/General Correspondence/Barua.pdf","Reply from Mrs Kanango, Headteacher","General Correspondence"
149,23,"LIWODE  NEW TDT PROJECT..doc","~/CMS/Docs/23/Application Form/LIWODE  NEW TDT PROJECT..doc","Application Form","Application Form"
150,23,"BARUA YA LIWODETDT.doc","~/CMS/Docs/23/Documents supporting Application form/BARUA YA LIWODETDT.doc","Recommendation Letter from Community Development Officer","Documents supporting Application form"
151,23,"LIWODE BUDGET TDT.docx","~/CMS/Docs/23/Documents supporting Application form/LIWODE BUDGET TDT.docx","Budget, not BOQ. Some items might be eligible for DAAT.","Documents supporting Application form"
152,23,MAP.jpg,"~/CMS/Docs/23/Documents supporting Application form/MAP.jpg","Map- rather unhelpful.","Documents supporting Application form"
153,23,ROSE.doc,"~/CMS/Docs/23/Documents supporting Application form/ROSE.doc","Registration Certificate and Photos of leaders","Documents supporting Application form"
154,23,"20131102 Email from JDM in response to application.txt","~/CMS/Docs/23/General Correspondence/20131102 Email from JDM in response to application.txt","Email from JDM in response to application","General Correspondence"
155,24,"WCRP TDT Application Form 201213.docx","~/CMS/Docs/24/Application Form/WCRP TDT Application Form 201213.docx","Application Form","Application Form"
156,24,"WCRP Recommendation Letter.docx","~/CMS/Docs/24/Documents supporting Application form/WCRP Recommendation Letter.docx","Recommendation letter (NB top and bottom) from Adam Missana","Documents supporting Application form"
157,24,"WCRP TDT BOQs.xlsx","~/CMS/Docs/24/Documents supporting Application form/WCRP TDT BOQs.xlsx","Budget, not BOQ","Documents supporting Application form"
158,24,Publication1.pub,"~/CMS/Docs/24/Documents supporting Application form/Publication1.pub","Registration Certificate and photos of applicants","Documents supporting Application form"
159,24,"20131104 JDM email in response to application.txt","~/CMS/Docs/24/General Correspondence/20131104 JDM email in response to application.txt","2013-11-04 JDM email in response to application","General Correspondence"
160,25,TDTApplicationForm2013.doc,"~/CMS/Docs/25/Application Form/TDTApplicationForm2013.doc","Application Form","Application Form"
161,25,"Annex 3  Location of TAMA.docx","~/CMS/Docs/25/Documents supporting Application form/Annex 3  Location of TAMA.docx","Location of TAMA","Documents supporting Application form"
162,25,"Detailed Budget TDT.xls","~/CMS/Docs/25/Documents supporting Application form/Detailed Budget TDT.xls",Budget,"Documents supporting Application form"
163,25,"ID for the Second Proposer  Annex 7.pdf","~/CMS/Docs/25/Documents supporting Application form/ID for the Second Proposer  Annex 7.pdf","ID for second proposer","Documents supporting Application form"
164,25,"Proof of Proposer  Passport  Annex 7.pdf","~/CMS/Docs/25/Documents supporting Application form/Proof of Proposer  Passport  Annex 7.pdf","ID for proposer","Documents supporting Application form"
165,25,"Recommendation Letter  Bukoba Municipal Director  Annex 6.pdf","~/CMS/Docs/25/Documents supporting Application form/Recommendation Letter  Bukoba Municipal Director  Annex 6.pdf","Recommendation Letter, Bukoba Municipal Director","Documents supporting Application form"
166,25,"Supplier Proforma Invoice No.1  Annex 1.pdf","~/CMS/Docs/25/Documents supporting Application form/Supplier Proforma Invoice No.1  Annex 1.pdf","Estimate from supplier","Documents supporting Application form"
167,25,"Supplier Proforma Invoice  No.2  Annex 1.pdf","~/CMS/Docs/25/Documents supporting Application form/Supplier Proforma Invoice  No.2  Annex 1.pdf"," Second Estimate from supplier","Documents supporting Application form"
168,25,"TAMAReg. Certificate  Annex 4.jpg","~/CMS/Docs/25/Documents supporting Application form/TAMAReg. Certificate  Annex 4.jpg","Registration Certificate","Documents supporting Application form"
169,25,"20131105 Email from JDM responding to application.txt","~/CMS/Docs/25/General Correspondence/20131105 Email from JDM responding to application.txt","Email from JDM responding to application","General Correspondence"
170,26,"TDT APPLICATION FORM 2013.doc","~/CMS/Docs/26/Application Form/TDT APPLICATION FORM 2013.doc","Application Form","Application Form"
171,26,"A LETTER FROM MUNICIPAL COMMUNITY DEVELOPMENT OFFICER.pdf","~/CMS/Docs/26/Documents supporting Application form/A LETTER FROM MUNICIPAL COMMUNITY DEVELOPMENT OFFICER.pdf","Letter from Community Development Officer","Documents supporting Application form"
172,26,"ALPHONCE CHARLES.JPG","~/CMS/Docs/26/Documents supporting Application form/ALPHONCE CHARLES.JPG","Alphonce  Charles identity document","Documents supporting Application form"
173,26,"CERTIFICATE OF REGISTRATION.doc","~/CMS/Docs/26/Documents supporting Application form/CERTIFICATE OF REGISTRATION.doc","Registration Certificate","Documents supporting Application form"
174,26,"PRO FORMA INVOICE.pdf","~/CMS/Docs/26/Documents supporting Application form/PRO FORMA INVOICE.pdf","Proforma Invoice from Tabora supplier","Documents supporting Application form"
175,26,"PROJECT LOCATION.docx","~/CMS/Docs/26/Documents supporting Application form/PROJECT LOCATION.docx","Project Location- one liner giving location","Documents supporting Application form"
176,26,"PROJECT PHOTO.JPG","~/CMS/Docs/26/Documents supporting Application form/PROJECT PHOTO.JPG",""Project photo"- photo of cluster of pupils with book. Could be anywhere.","Documents supporting Application form"
177,26,"PROPOSED PROJECT BUDGET.xlsx","~/CMS/Docs/26/Documents supporting Application form/PROPOSED PROJECT BUDGET.xlsx",Budget,"Documents supporting Application form"
178,26,"SELEMAN SHABAN.JPG","~/CMS/Docs/26/Documents supporting Application form/SELEMAN SHABAN.JPG","2nd proposer ID","Documents supporting Application form"
180,26,"20131114 Email forwarding application to Adriano.txt","~/CMS/Docs/26/Documents supporting Application form/20131114 Email forwarding application to Adriano.txt","2013-11-14 Email forwarding application to Adriano","Documents supporting Application form"
181,26,"20131114 Email responding to application.txt","~/CMS/Docs/26/Documents supporting Application form/20131114 Email responding to application.txt","2013-11-14 Email responding to application","Documents supporting Application form"
182,28,"TDT Application Form from KASODEFO.pdf","~/CMS/Docs/28/Application Form/TDT Application Form from KASODEFO.pdf","Application Form","Application Form"
183,28,"Sketch map of maswa.pdf","~/CMS/Docs/28/Documents supporting Application form/Sketch map of maswa.pdf","Sketch map of Maswa","Documents supporting Application form"
184,28,"Secretary ID.doc","~/CMS/Docs/28/Documents supporting Application form/Secretary ID.doc","ID of Secretary","Documents supporting Application form"
